Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1977,5,7.083,7.055,7.091,7.019,
1977,9,7.060,7.056,7.092,7.021,
1977,11,7.100,7.057,7.092,7.021,
1977,12,7.101,7.057,7.092,7.022,
1978,1,7.100,7.057,7.092,7.022,
1978,2,7.160,7.057,7.092,7.022,
1978,4,7.166,7.057,7.092,7.023,
1978,5,7.123,7.058,7.092,7.023,
1978,6,7.079,7.058,7.092,7.023,
1978,7,7.065,7.058,7.092,7.024,
1978,8,7.093,7.058,7.093,7.024,
1978,9,7.092,7.058,7.093,7.024,
1978,10,7.105,7.059,7.093,7.025,
1978,11,7.087,7.059,7.093,7.025,
1978,12,7.026,7.059,7.093,7.025,
1979,1,7.126,7.059,7.093,7.026,
1979,2,7.030,7.059,7.093,7.026,
1979,3,7.092,7.060,7.093,7.026,
1979,4,7.068,7.060,7.093,7.026,
1979,5,7.099,7.060,7.093,7.027,
1979,6,7.071,7.060,7.093,7.027,
1979,7,7.063,7.060,7.094,7.027,
1979,8,7.084,7.061,7.094,7.028,
1979,9,7.068,7.061,7.094,7.028,
1979,10,7.059,7.061,7.094,7.028,
1979,11,7.090,7.061,7.094,7.029,
1979,12,7.092,7.061,7.094,7.029,
1980,1,7.106,7.062,7.094,7.029,
1980,2,7.098,7.062,7.094,7.029,
1980,3,7.089,7.062,7.094,7.030,
1980,4,7.115,7.062,7.094,7.030,
1980,5,7.127,7.062,7.095,7.030,
1980,6,7.147,7.063,7.095,7.031,
1980,7,7.160,7.063,7.095,7.031,
1980,8,7.133,7.063,7.095,7.031,
1980,9,7.103,7.063,7.095,7.032,
1980,10,7.078,7.063,7.095,7.032,
1980,11,7.068,7.064,7.095,7.032,
1980,12,7.091,7.064,7.095,7.032,
1981,1,7.060,7.064,7.095,7.033,
1981,2,7.113,7.064,7.095,7.033,
1981,3,7.131,7.064,7.095,7.033,
1981,4,7.162,7.065,7.096,7.034,
1981,5,7.141,7.065,7.096,7.034,
